station_id,station_name,city,postcode,latitude,longitude,number_of_points,power_kw,connection_type_id
487205,Wolkersdorfer Straße,Traunstein,83278,47.87506450597106,12.63336520535925,1,11.0,0
487203,Adelungstraße,,64283,49.870208424554704,8.646234006995655,1,11.0,0
487202,Lenzmannstraße,,47051,51.43128725565905,6.768569099968608,1,11.0,0
487201,Drosselstraße,,22305,53.588532168021345,10.04433405075929,1,11.0,0
487200,Holzstraße,,40221,51.213314700751994,6.749011104658052,1,11.0,0
487199,Emil-Moog-Platz,,44137,51.51583388949416,7.453405082613244,1,11.0,0
487198,Hagenstraße,,60314,50.110027446859505,8.709861621991195,1,11.0,0
487197,Hagenstraße,,60314,50.110991804186824,8.709599866339659,1,11.0,0
487196,Pepperworth,,31134,52.158453915977645,9.954606658765329,1,11.0,0
487195,Rosa-Parks-Ring,,28195,53.08430428235263,8.808532241443572,1,11.0,0
487194,Pfotenhauerstraße,,01307,51.059526785299596,13.783196115347437,1,11.0,0
487192,Emailfabrikstraße,Amberg,92224,49.44445076022723,11.866492408785462,1,11.0,0
487188,Angerpassage,,99084,50.975428460039346,11.03640367441305,1,11.0,0
487186,Berliner Platz,,58089,51.362605821926536,7.462410215652426,1,11.0,0
487185,Vom-Rath-Straße,,47051,51.43166223608401,6.766442806517148,1,11.0,0
487184,Andreasstraße,,10243,52.51199179026825,13.431011292887032,1,11.0,0
487183,Prager Straße,,01219,51.04547737077874,13.733760855914056,1,11.0,0
487182,Arnekenstraße,,31134,52.153911792115,9.948899663369048,1,11.0,33
487181,Stiftstraße,,60313,50.11631492844322,8.680769353700839,1,11.0,0
486139,MB Wallbox,Gerstungen,99834,50.9688254854575,10.07850146107944,1,11.0,1036
485986,Stadtwerke Leipzig,Leipzig,04159,51.366745045350285,12.349890148115264,4,22.0,0
485833,Qwello-Ladestation,Berlin,12619,52.52320243876059,13.59030115465699,2,11.0,25
485832,eze.network-Ladestation,Berlin,12619,52.52955054772394,13.58760372986319,2,22.0,25
485771,Hans-Ort-Ring,Herzogenaurach,91074,49.57907168332534,10.887118085078214,4,200.0,0
485431,Kinderhaus Badstraße,,71409,48.87748178619063,9.355769165673564,2,22.0,0
485430,Ludwig-Uhland-Schule,Schwaikheim,71409 ,48.87163946198639,9.351690202061949,2,22.0,0
485429,Gorroner Platz,Schwaikheim,71409 ,48.876219431875505,9.34942931909094,2,22.0,0
485324,Land- & Wellnesshotel NAKUK,Wangerland,26434,53.673404694369594,8.009665553158356,4,22.0,25
485221,Elektro Beck Würzburg,Würzburg,97076,49.80007888651966,9.99664232051714,8,22.0,0
480906,Eisenbahnstraße,,76229,49.00543803763236,8.495055617572461,6,200.0,33
480839,Maximilianstraße,Wörth am Rhein,76744,49.039491797633104,8.29350464122831,8,150.0,33
480827,EnBW Ladepark,Mühlhausen im Täle,73347,48.57894774678729,9.6628813580611,16,400.0,33
480813,Supercharger Burger King,Schweinfurt,97424,50.02056587355517,10.21517285017751,8,250.0,33
480779,Unser Schopp - Burgkemnitz,Burgkemnitz,06774,51.68590052608877,12.394601290991204,1,3.0,28
480688,Wirelane AC Charger,Hagen,58095,51.366373,7.4930120000000215,2,,25
480504,Wirelane,Merzhausen,79249,47.967068037044925,7.829705507471772,1,11.0,25
480134,Greimerather Forst Ladestation,Greimerath ,54314,49.56294330886689,6.683409472641529,2,11.0,25
479861,Kaufland Ladestation,Dossenheim,69221,49.45464669077512,8.665175632424962,1,22.0,25
479656,Hohenzollernstraße 5,Landkreis Böblingen,71088,48.645833726332086,9.011656861883125,4,150.0,33
479655,Tübinger Straße 107,Landkreis Böblingen,71088,48.63135730443577,9.017013873672227,2,22.0,25
478921,Vöhrenbacher Straße 38,Villingen-Schwenningen,78050,48.05824263086103,8.444356297770923,6,300.0,33
478803,Autohaus Frascoia,Kappelrodeck,77876,48.597206650285045,8.11280231001183,8,50.0,33
478763,famila Parkplatz,Weyhe,28844,52.994101522470714,8.819354218142962,2,50.0,33
478376,EnBW,Rotenburg an der Fulda,36199 ,50.9978080716036,9.733945966671513,4,150.0,33
478193,Knoppermühlweg,Wasserburg am Inn,83512,48.06226137086327,12.226378795181517,1,22.0,25
478116,Pützerstraße,Frankfurt am Main,60488,50.14461929363861,8.611891040867818,1,,33
477295,Hypercharger R-Werk,Regensburg,93055,49.01401,12.11856,2,150.0,33
475599,Gasthof zum Hirschen,Scheidegg,88175,47.58165859387222,9.849894830748553,3,22.0,25
475441,Bregenzer Straße,Lindau (Bodensee),88131,47.55263001940145,9.704260479508548,10,,33
475326,Arale Pulse,Schierling,84069,48.83898552676442,12.11882629077786,1,300.0,33
