time,temperature_2m,precipitation,wind_speed_10m
2026-05-02 00:00:00,13.3,0.0,4.3
2026-05-02 01:00:00,12.6,0.0,4.3
2026-05-02 02:00:00,11.8,0.0,4.9
2026-05-02 03:00:00,10.9,0.0,4.1
2026-05-02 04:00:00,10.3,0.0,4.6
2026-05-02 05:00:00,10.9,0.0,5.2
2026-05-02 06:00:00,13.0,0.0,6.3
2026-05-02 07:00:00,15.7,0.0,8.3
2026-05-02 08:00:00,18.8,0.0,9.7
2026-05-02 09:00:00,21.7,0.0,12.1
2026-05-02 10:00:00,23.2,0.0,13.4
2026-05-02 11:00:00,24.2,0.0,13.2
2026-05-02 12:00:00,24.7,0.0,13.0
2026-05-02 13:00:00,25.3,0.0,12.5
2026-05-02 14:00:00,25.8,0.0,12.9
2026-05-02 15:00:00,26.0,0.0,12.8
2026-05-02 16:00:00,25.6,0.0,13.8
2026-05-02 17:00:00,25.1,0.0,13.0
2026-05-02 18:00:00,24.1,0.0,8.7
2026-05-02 19:00:00,22.0,0.0,6.5
2026-05-02 20:00:00,20.2,0.0,5.8
2026-05-02 21:00:00,18.7,0.0,5.4
2026-05-02 22:00:00,17.5,0.0,5.5
2026-05-02 23:00:00,16.4,0.0,6.2
2026-05-03 00:00:00,15.3,0.0,6.6
2026-05-03 01:00:00,14.4,0.0,6.6
2026-05-03 02:00:00,13.4,0.0,6.9
2026-05-03 03:00:00,12.7,0.0,6.6
2026-05-03 04:00:00,12.0,0.0,5.9
2026-05-03 05:00:00,12.3,0.0,6.6
2026-05-03 06:00:00,13.9,0.0,7.9
2026-05-03 07:00:00,16.6,0.0,6.3
2026-05-03 08:00:00,19.9,0.0,7.6
2026-05-03 09:00:00,22.7,0.0,8.5
2026-05-03 10:00:00,25.4,0.0,10.5
2026-05-03 11:00:00,27.2,0.0,13.2
2026-05-03 12:00:00,28.0,0.0,14.3
2026-05-03 13:00:00,28.4,0.0,14.8
2026-05-03 14:00:00,28.1,0.0,14.7
2026-05-03 15:00:00,28.2,0.0,14.0
2026-05-03 16:00:00,27.8,0.0,10.7
2026-05-03 17:00:00,26.7,0.0,12.1
2026-05-03 18:00:00,25.5,0.0,10.5
2026-05-03 19:00:00,24.1,0.0,6.0
2026-05-03 20:00:00,22.9,0.0,3.6
2026-05-03 21:00:00,22.1,0.0,3.4
2026-05-03 22:00:00,21.0,0.0,0.5
2026-05-03 23:00:00,20.1,0.0,5.0
2026-05-04 00:00:00,19.0,0.0,4.0
2026-05-04 01:00:00,18.7,0.1,5.9
2026-05-04 02:00:00,18.7,0.0,2.3
2026-05-04 03:00:00,17.8,0.0,7.8
2026-05-04 04:00:00,16.8,0.0,5.8
2026-05-04 05:00:00,16.4,0.0,6.0
2026-05-04 06:00:00,17.3,0.0,8.7
2026-05-04 07:00:00,18.4,0.0,11.6
2026-05-04 08:00:00,19.3,0.0,13.5
2026-05-04 09:00:00,20.7,0.0,14.8
2026-05-04 10:00:00,21.3,0.0,15.8
2026-05-04 11:00:00,21.9,0.0,14.9
2026-05-04 12:00:00,22.5,0.0,12.5
2026-05-04 13:00:00,22.5,0.0,11.9
2026-05-04 14:00:00,22.4,0.0,10.2
2026-05-04 15:00:00,22.4,0.0,10.9
2026-05-04 16:00:00,21.6,0.0,10.5
2026-05-04 17:00:00,20.5,0.0,8.4
2026-05-04 18:00:00,19.5,0.0,4.7
2026-05-04 19:00:00,17.7,0.0,5.1
2026-05-04 20:00:00,16.7,0.0,6.5
2026-05-04 21:00:00,15.9,0.1,7.4
2026-05-04 22:00:00,14.8,0.2,8.9
2026-05-04 23:00:00,13.8,0.2,8.0
2026-05-05 00:00:00,12.6,0.9,7.5
2026-05-05 01:00:00,11.6,0.6,7.9
2026-05-05 02:00:00,10.7,1.2,6.4
2026-05-05 03:00:00,9.9,1.5,7.4
2026-05-05 04:00:00,9.4,1.5,6.9
2026-05-05 05:00:00,9.2,1.4,7.2
2026-05-05 06:00:00,9.1,1.5,8.4
2026-05-05 07:00:00,9.1,1.3,8.9
2026-05-05 08:00:00,9.3,1.1,9.0
2026-05-05 09:00:00,9.8,0.9,9.7
2026-05-05 10:00:00,10.2,0.7,9.4
2026-05-05 11:00:00,11.2,0.3,10.8
2026-05-05 12:00:00,11.8,0.1,10.6
2026-05-05 13:00:00,11.9,0.1,10.0
2026-05-05 14:00:00,11.8,0.1,9.1
2026-05-05 15:00:00,11.7,0.1,8.3
2026-05-05 16:00:00,11.7,0.0,8.1
2026-05-05 17:00:00,11.8,0.0,7.7
2026-05-05 18:00:00,11.6,0.0,7.8
2026-05-05 19:00:00,10.8,0.0,7.7
2026-05-05 20:00:00,9.8,0.0,7.1
2026-05-05 21:00:00,8.9,0.0,6.9
2026-05-05 22:00:00,8.1,0.0,6.4
2026-05-05 23:00:00,7.5,0.0,5.9
2026-05-06 00:00:00,7.0,0.0,5.6
2026-05-06 01:00:00,6.5,0.0,5.6
2026-05-06 02:00:00,6.2,0.0,5.6
2026-05-06 03:00:00,6.0,0.0,6.1
2026-05-06 04:00:00,6.1,0.0,6.4
2026-05-06 05:00:00,6.4,0.0,6.6
2026-05-06 06:00:00,7.0,0.0,7.1
2026-05-06 07:00:00,8.0,0.0,8.4
2026-05-06 08:00:00,9.3,0.0,9.7
2026-05-06 09:00:00,10.6,0.0,10.7
2026-05-06 10:00:00,11.7,0.0,11.1
2026-05-06 11:00:00,12.7,0.0,10.7
2026-05-06 12:00:00,13.4,0.0,10.3
2026-05-06 13:00:00,13.6,0.0,9.7
2026-05-06 14:00:00,13.5,0.0,8.6
2026-05-06 15:00:00,13.0,0.0,7.1
2026-05-06 16:00:00,12.2,0.4,5.1
2026-05-06 17:00:00,11.1,0.4,4.3
2026-05-06 18:00:00,10.1,0.4,4.0
2026-05-06 19:00:00,9.4,0.4,2.1
2026-05-06 20:00:00,8.8,0.4,4.1
2026-05-06 21:00:00,8.3,0.4,6.9
2026-05-06 22:00:00,7.9,0.0,7.6
2026-05-06 23:00:00,7.5,0.0,6.9
2026-05-07 00:00:00,7.2,0.0,6.6
2026-05-07 01:00:00,6.9,0.0,6.6
2026-05-07 02:00:00,6.6,0.0,6.6
2026-05-07 03:00:00,6.5,0.0,6.8
2026-05-07 04:00:00,6.7,0.0,6.9
2026-05-07 05:00:00,7.1,0.0,7.2
2026-05-07 06:00:00,7.4,0.0,7.5
2026-05-07 07:00:00,7.6,0.0,8.9
2026-05-07 08:00:00,9.2,0.0,10.4
2026-05-07 09:00:00,10.5,0.0,11.0
2026-05-07 10:00:00,11.2,0.0,10.5
2026-05-07 11:00:00,11.6,0.0,9.8
2026-05-07 12:00:00,11.9,0.0,9.1
2026-05-07 13:00:00,12.3,0.0,8.5
2026-05-07 14:00:00,12.7,0.0,8.2
2026-05-07 15:00:00,12.9,0.0,7.6
2026-05-07 16:00:00,12.8,0.0,6.9
2026-05-07 17:00:00,12.6,0.0,5.6
2026-05-07 18:00:00,12.1,0.0,4.4
2026-05-07 19:00:00,11.1,0.0,3.1
2026-05-07 20:00:00,9.9,0.0,2.5
2026-05-07 21:00:00,8.7,0.0,2.4
2026-05-07 22:00:00,7.9,0.0,2.4
2026-05-07 23:00:00,7.3,0.0,2.2
2026-05-08 00:00:00,6.7,0.0,2.2
2026-05-08 01:00:00,6.1,0.0,2.1
2026-05-08 02:00:00,5.5,0.0,2.4
2026-05-08 03:00:00,5.6,0.0,2.5
2026-05-08 04:00:00,6.5,0.0,2.5
2026-05-08 05:00:00,8.1,0.0,2.3
2026-05-08 06:00:00,9.8,0.0,2.3
2026-05-08 07:00:00,11.6,0.0,2.9
2026-05-08 08:00:00,13.5,0.0,4.1
2026-05-08 09:00:00,15.1,0.0,5.1
2026-05-08 10:00:00,16.4,0.0,5.4
2026-05-08 11:00:00,17.5,0.0,5.4
2026-05-08 12:00:00,18.4,0.0,5.5
2026-05-08 13:00:00,19.2,0.0,5.5
2026-05-08 14:00:00,19.8,0.0,5.9
2026-05-08 15:00:00,20.0,0.0,5.7
2026-05-08 16:00:00,19.8,0.0,5.3
2026-05-08 17:00:00,19.2,0.0,5.1
2026-05-08 18:00:00,18.2,0.0,5.2
2026-05-08 19:00:00,16.5,0.0,5.2
2026-05-08 20:00:00,14.3,0.0,5.4
2026-05-08 21:00:00,12.5,0.0,5.4
2026-05-08 22:00:00,11.5,0.0,5.4
2026-05-08 23:00:00,10.9,0.0,5.4
